"id","Strain 1","Strain 2","Strain 3"
11320679343,"Gold or diesel OG","Lee roy","Citrix"
11148895510,"White Widow","Bruce Banner 4","OG kush "
11111801761,"Brownie Scout ","Walker Kush","French Toast "
10616000680,"Bubba Kush","Chemdawg","Sour Diesel"
10615762014,"lemon skunk","lemon jeffrey","girl scout cookie"
10615607693,"Wedding cake ","Jilly bean ","Scott’s og"
10615382686,"Las Vegas Buba Kush","Girl Scout Cookies","Lemon Jeffery"
10516361607,"sour diesel","og kush","high CBD strains"
10464834197,"Blueberry","Hashplant","GSC"
10444236346,"Bio diesel","Gorilla glue","Grape god"
10427038209,"Lemon Jeffery","Grateful Breath","Orange Krush"
10390735914,"Gorilla glue","Blue dream","Chem dog"
10389539123,"Lemon Jeffrey","Cheesecake ","Sour Diesel"
10361398461,"N/a","",""
10340116686,"GG4","Bootylicious ","Blue dream "
10332089931,"Killer Queen","Sour Diesel","Lemon Lime Punch"
10313041082,"Any indica higher thc %","Sweet tooth","Gg4"
10312356549,"blue dream","",""
10304363791,"dr. grinspoon","sour diesel","gorilla glue"
10289128872,"Northern lights","Jack herer","Green crack"
10285851934,"Purple Lamborghini","Gorilla Glue","Chem 4"
10280889006,"Blueberry ","Gelato","Harlequin "
10263390124,"unknown","unknown","unkown"
10260573889,"Blue dream","Gdp","The evelyne"
10260087945,"? I don’t know much about strains","?","?"
10253887260,"blue dream","purple kush","kush dawg"
10253881475,"sour diesal","grape street","black mamba"
10253880384,"Sour diesle","Ggg","Tangie"
10246399634,"Skywalker","Granddaddy Purp","Blue Dream"
10243585697,"Sour disesl","Strawberry fields","Lemon meringue "
10239109393,"Kush","Haze","20:01"
10236223392,"Strawberry Diesel","Gorilla Glue #4","Harlequin"
10236014104,"Green crack","Strawberry banana","lemonade sour diesel"
10235888421,"green crack","gorilla glue #4","blue dream"
10234227563,"Wappa","Sage 21","Kush 4"
10232561621,"Blue Dream","CBD Punch","Lucky Charm"
10231985248,"Vanilla kush","gorilla glue","Grand daddy purple"
10231913670,"CBD","CBD indica hybrid","Indica"
10231654493,"Star cookie","Star killer","Chocolate oranges"
10231320543,"Blue Dream","XJ 13","Fire OG"
10230517511,"I don't know ","",""
10230474596,"Train Wreck","Headband","Jack Herer"
10230407442,"Indica","Sativa ","Nl1"
10230334342,"Indica","Hybrid ","Sativa"
10230246660,"CBD:THC","INDICA","SATIVA"
10230167859,"Sativa","Not sure","Not sure"
10229707932,"Granddaddy Purple Gdp Indica. ","Bubba Kush Bk Indica","Northern Lights Nl Indica"
10229670320,"Chocolope","Grape God","CBD"
10229649057,"Golden Goat","Blue Dream","Grape Ape"
10229621245,"AC/DC","Pre 98 Bubba Kush","Scout Cookies"
10229595919,"CBD","Indica",""
10229590537,"Pineapple Express","Biscotti Kush","Lemon Haze"
10229561917,"Sativa","",""
10229538834,"Unknown","Unknown","Unknown"
10229505070,"Northern Lights","Purple Kush","White Widow"
10229426798,"Katsu Bubba Kush","Gorilla Glue","Cookie Pebbles"
10229408873,"Durban Poison","Cannatonic","Tahoe OG Kush"
10229404289,"Lemon skunk ","Lavender","GG"
10229397458,"sour diesel","blueberry cookies","blue dream"
10229395392,"the","good","stuff"
10229352625,"Lemon G","Durban Poison","Sherbert"
10229350099,"Any I get my hands on","",""
10229332529,"Stavia","Hybrid","Cbd"
10229325434,"Not sure","",""
10223907822,"Sunset sherbert","Gods gift","Mother of berries cbd "
10207729722,"GC #4","Lemon Meringue ","Mr. Clean"
10206473134,"na","na","na"
10201740973,"Pink Kush","Do-Si-Dos","Wedding Cake"
10198548060,"Blue dream","Gelato","Sky walker"
10194492829,"MK Ultra","Laura Winslow ","Bubba Kush"
10192878974,"lemon skunk (DNA)","geleto","huckleberry kush"
10192677147,"sour diesel","cush","indica"
10192572679,"9 Lb Hammer","Grand daddy purple","Girl Scout Cookies"
10192556821,"Skywalker OG ","Gsc ","Obama kush"
10192485669,"blueberry headband","montenuska thunderfuck","these names are so stupid, please, please, PLEASE change the naming of your strains, cannabis industry"
10191616641,"Sour D","Unknown n/a","Unknown n/-"
10189186912,"Snoop dog","Dutch dragon","Trainwreck"
10188650039,"Red headed stranger","Blue dream","Bubba kush"
10188521969,"Have never purchased by strain","",""
10187563095,"Green crack","Gorilla glue","OG kush"
10187399811,"Blueberry","OG Kush","Any heavy Indica"
10186736515,"Sour diesel ","White widow ","Blue dream"
10185410224,"Trainwreck","OG Kush","Chocolate Oranges"
10180645404,"ACDC","Trainwreck","Hindu Kush"
10180291383,"Northern lights ","GG4","White widow"
10179433467,"Sour Diesel","Kush","Blue Dream"
10179092808,"Blue Mystiq","Raspberry Cough","Super Silver Haze"
10175028993,"Sweet Tooth","GG #6","Berry Gelato"
10170264544,"Sour Diesel","Granddaddy Purple","Sweet Skunk x Jack Heurer"
10170193335,"Bio diesel ","Scooby snacks","Jack frost"
10168596483,"Jack Cookies","Big City Lights","Skywalker Kush"
10167716036,"Sour Diesel","Haze","Blue Dream"
10167417222,"Linguist","Clementine","Buddha's Sister"
10166816483,"og kush","girls scout cookies","lost coast og"
10166774106,"Chad Bud","Acapulco Gold","Creeper"
10166704081,"Gummies ","Smoke","Cream"
10166518301,"Blue Dream","Green Crack","Bordello"
10164798083,"Sweet tooth","1:01","Blue dream"
10156749143,"ACDC","Buddha's Sister","Poet's Walk "
10156731649,"GG4","SweetTooth","Facewreck"
10151593500,"Buddha's Sister","White Lotus","Purple Jack"
10149116440,"Sweet Tooth","White Widow","Girls Scout Cookies"
10147353916,"Ghost Train Haze","GG #4","Buckeye Purple"
10147209030,"Manderian Dreams","GG #4","Lemon Jeffery "
10146039671,"Green crack","Sweet skunk","Master kush"
