"id","Strain 1","Strain 2","Strain 3"
11177812554,"AK47","NORTHERN LIGHTS","GRAPEFRUIT"
11095751213,"Critical Sensei Star","Garlic Grove","9 pound hammer"
10626429877,"Indica ","",""
10616732328,"Night Terror","Night Nurse ","Trainwreck"
10444236346,"Bio diesel","Gorilla glue","Grape god"
10235626582,"None In Particular, Prefer Hybirds or Indica's","",""
10235412173,"1","",""
10234287047,"super lemon haze","star killer","Northern lights haze"
10232428512,"Ingrid","Cindy-99","MJ-23"
10232097349,"SAH","LA Lady","91"
10230746193,"Tahoe OG","Durban Poison","Strawnana"
10230393816,"ACDC","Durban Poison","Death Star"
10230330738,"ASH ","x","x"
10230323835,"Hope's cookies","Og Kush","Snowflake"
10230119752,"Desert Diesel","Dawg waltz","Meltdown"
10230050316,"Indigo ","CBD","Sativa "
10230014122,"Purple kush","Gorilla glue #4",""
10229862575,"Gorilla glue ","Willie Nelson ","Mango kush "
10229779148,"Strawberry Cheesecake","Gods Lemon Skunk","Pineapple Express"
10229605942,"Maple Trainwreck","Blue Cookies","Jilly Bean"
10229605070,"The Remedy (CBD)","Querkle (Indica dominant)","Blue Power (indica dominant)"
10229595919,"CBD","Indica",""
10229561329,"i dont know","indica","hi CBD strains"
10229505070,"Northern Lights","Purple Kush","White Widow"
10229494406,"Midnight","Stryker","Grand Daddy Purple"
10229453603,"Purple urple","Golden pineapple","Dutchberry"
10229447544,"don't have favorites","",""
10229331171,"Platinum","AC/DC ","?"
10217868533,"Gorilla Glue","Blueberry","Haze"
10212670183,"Swamp Thing","Granddaddy Purple","Sour Sunset"
10198104111,"Tangie","Golden Goat ","Purps "
10194559499,"N/a","",""
10193163013,"Dr. Who","Cherrie Pie","Blueberry Kush"
10192604228,"indica","sativa",""
10192058859,"n/a","n/a","n/a"
10179657355,"Tangerine","Pot of Gold","Jack Frost"
10176250797,"Sour diesel","Girl scout cookies","Any OG"
10174274823,"Mimosa"," Grandaddy Purple ","OG Kush"
10171530553,"Domnesia","Cambodia","Nigeria"
10171522285,"don't have any","all seem the same","not much difference"
10170264544,"Sour Diesel","Granddaddy Purple","Sweet Skunk x Jack Heurer"
10166791366,"indica","",""
10166549801,"white widow","Dr. who","Big bud"
10166125436,"Whatever is available","",""
10160356483,"unk","unk","unk"
10153479989,"Green crack","Sour diesel","Blue dream"
10152934544,"I dont have a favorite","",""
10151593500,"Buddha's Sister","White Lotus","Purple Jack"
10148289731,"Gorilla Glue #4","Lemon Jeffrey","Chem Dawg"
10143929046,"Chem Dawg","Bubba Kush","High Times (Tahoe Kush hybrid)"
10142762492,"maes Cannatonic","Harlequin","Big Bud"
10142603713,"CBD","",""
10141267339,"I don't know","Can't tell much difference","All the same to me"
10137922390,"Barcelona ","Grand daddy purple","Taffie"
10137849877,"Bruce Banner","Face wreck","Sweet Tooth"
10136878865,"Green crack","Lemon cello","Kill queen"
10132036582,"I haven't found my #1 favorite yet","Northern Lights","Alion"
10131726683,"Meltdown ","OG ","Lee Roy"
10131197878,"Not sure","Not sure ","Not sure"
10131192376,"Granddaddy Purple","Hindu Kush","Mimosa"
10130007269,"LA Confidential","Strawberry pebbles","Bruce banner"
10128945239,"highwayman","purple dawg","citrique"
10128242064,"Biodiesel ","Blue og","Lemon jeffrey"
10127844274,"Redline ","Lemon","OG Kush"
10127383570,"GDP","Moonrise","Haze"
10127311385,"Granddaddy Purple","Sour Diesel","3 Chems"
10127249037,"KT Dawg","GG4","Girl Scout Cookie"
10127001678,"Golden Glue","critical Mass","Holy Grail"
10124378453,"Still","Searching","For a favorite "
10124268487,"Grape God","Lemon Jefrey","No idea"
10123538695,"CBD Critical Mass","Strawberry Cough","Cannatonic"
10123332415,"Star 91 #8","Grease Monkey #7","Double Stuffed"
10120190166,"Skywalker Kush","Highwayman","White Widow"
10118620332,"Star 91 #8","Grease Monkey #7","Double Stuffed"
10118545790,"Grape God","Lemon Jeffrey","Peach Purée "
10116307435,"Granddaddy purple","Sunset sherbet","NYC sour diesel"
10113809878,"THC 5 mg gummies","10mg CBD capsule ",""
10113111202,"Just use edibles","",""
