"id","response"
11250741921,"0"
11249832802,"1"
11241395977,"100"
11238774708,"100"
11238685800,"25"
11238671751,"90"
11238558967,"100"
11232533197,"100"
11221636373,"100"
11215609540,"100"
11212618775,"100"
11183903124,"50"
11181279818,"100"
11179999382,"43"
11164232720,"25"
11141027225,"100"
11140621270,"75"
11138930846,"100"
11137625236,"100"
11137570486,"75"
11136832253,"2"
11135411524,"90"
11135389919,"100"
11135380294,"100"
11135212674,"100"
11134531419,"100"
11134530007,"100"
11134478610,"100"
11134445906,"100"
11134443636,"75"
11131514317,"10"
11091792560,"52"
11065588769,"1"
11065479544,"0"
11062688483,"0"
11062634752,"100"
11054943670,"84"
11036310394,"100"
11030978965,"100"
11023090140,"100"
11006369538,"51"
11003496788,"8"
10972364151,"3"
10902224469,"100"
10893828061,"50"
10892190679,"100"
10886504576,"96"
10886020524,"97"
10885759801,"100"
10880798060,"50"
10877194985,"100"
10876510380,"10"
10876485783,"100"
10876100377,"0"
10875993925,"100"
10875700450,"100"
10875562577,"99"
10875503972,"100"
10875467061,"100"
10872131442,"14"
10868096498,"10"
10867812743,"0"
10864851918,"82"
10863841131,"100"
10859949104,"100"
10856302482,"1"
10852545455,"100"
10849354793,"100"
10849214021,"65"
10849063157,"100"
10847737322,"100"
10847305299,"100"
10847199598,"100"
10847038072,"80"
10846997868,"100"
10844578211,"100"
10844338129,"100"
10844069184,"0"
10843810346,"100"
10843803790,"97"
10843797483,"100"
10843000999,"100"
10842054674,"100"
10839396047,"26"
10837914247,"0"
10835639035,"0"
10834416742,"100"
10833997993,"100"
10833972658,"1"
10833785776,"94"
10833417544,"14"
10832191551,"100"
10832168862,"0"
10831948842,"75"
10831929904,"100"
10831792008,"0"
10831623393,"0"
10831181023,"5"
10831158462,"100"
10822875373,"0"
10822727213,"100"
10758753382,"100"
10709051382,"100"
10706606981,"100"
10688508584,"99"
10685117930,"50"
10682649508,"15"
10677653881,"90"
10675806972,"70"
10671153091,"20"
10669140575,"100"
10662496256,"100"
10661330404,"2"
10658936778,"0"
10618149896,"100"
10615243125,"0"
10614375447,"100"
10609850764,"95"
10604065323,"100"
10598221024,"100"
10581447651,"100"
10579835521,"100"
10576876213,"50"
10575282159,"100"
10575091533,"100"
10570146744,"100"
10569704133,"90"
10569070427,"96"
10568865766,"56"
10566881623,"36"
10566297731,"50"
11044680699,"100"
10991821033,"99"
10978796014,"100"
10977935510,"89"
10974652472,"100"
10956719648,"100"
10632499407,"97"
10632389881,"100"
10600284760,"75"
10598807297,"100"
10868495105,"89"
10671009796,"65"
10581017097,"32"
10575479401,"100"
10569513731,"50"
