"id","Strain 1","Strain 2","Strain 3"
11148895510,"White Widow","Bruce Banner 4","OG kush "
11111801761,"Brownie Scout ","Walker Kush","French Toast "
10626429877,"Indica ","",""
10615382686,"Las Vegas Buba Kush","Girl Scout Cookies","Lemon Jeffery"
10544586314,"Gorilla Glue","Skywalker OG","Indict Don Hybrids"
10516361607,"sour diesel","og kush","high CBD strains"
10464834197,"Blueberry","Hashplant","GSC"
10361398461,"N/a","",""
10313041082,"Any indica higher thc %","Sweet tooth","Gg4"
10289128872,"Northern lights","Jack herer","Green crack"
10288684650,"Master Kush x Skunk","Banana OG","Deep Chunkolate"
10263390124,"unknown","unknown","unkown"
10249664681,"Sour Diesel","Green Crack","GG4"
10247119003,"Deep chunkolate","Black triangle kush","Blue dream"
10243813684,"I don't know","just learning about cbd",""
10239109393,"Kush","Haze","20:01"
10235888421,"green crack","gorilla glue #4","blue dream"
10233663249,"indica","",""
10232561621,"Blue Dream","CBD Punch","Lucky Charm"
10231985248,"Vanilla kush","gorilla glue","Grand daddy purple"
10231654493,"Star cookie","Star killer","Chocolate oranges"
10231320543,"Blue Dream","XJ 13","Fire OG"
10230754508,"CBD oil","THC oil ( received in capsules)","Salves"
10230326071,"sour kush","grandaddy purple","pineapple chunk"
10230119752,"Desert Diesel","Dawg waltz","Meltdown"
10230014122,"Purple kush","Gorilla glue #4",""
10229975238,"Lemon Squeeze","Albert Walker","Gorilla Glue"
10229706080,"Indica","Tikum Olam",""
10229649057,"Golden Goat","Blue Dream","Grape Ape"
10229605942,"Maple Trainwreck","Blue Cookies","Jilly Bean"
10229595919,"CBD","Indica",""
10229590537,"Pineapple Express","Biscotti Kush","Lemon Haze"
10229561329,"i dont know","indica","hi CBD strains"
10229507895,"White Widow","Acapulco Gold","Skywalker"
10229494406,"Midnight","Stryker","Grand Daddy Purple"
10229453603,"Purple urple","Golden pineapple","Dutchberry"
10229451801,"lemon skunk","cindy 99","northern lights"
10229447544,"don't have favorites","",""
10229426798,"Katsu Bubba Kush","Gorilla Glue","Cookie Pebbles"
10229350099,"Any I get my hands on","",""
10229332529,"Stavia","Hybrid","Cbd"
10229326183,"?","",""
10229325434,"Not sure","",""
10229317169,"24K","golden Banana","tangie"
10226660268,"HYDRO","CHRONIC","KUSH"
10213685358,"California Orange ","Gorilla Glue #4","Pink Panther "
10211143094,"Sour Diesel","God's Gift","Girl Scout Cookies"
10201740973,"Pink Kush","Do-Si-Dos","Wedding Cake"
10196435492,"Blue Dream","Sweet Tooth","Girl Scout Cookies"
10192995461,"Durban Poison","Medussa","Blackwater"
10192677147,"sour diesel","cush","indica"
10192556821,"Skywalker OG ","Gsc ","Obama kush"
10188478016,"Buddha's Sister","Heavenly Haze","Citrix"
10186789647,"Tardis #9","Skywalker OG","White Rino"
10185410224,"Trainwreck","OG Kush","Chocolate Oranges"
10180903610,"strawberry","blueberry","lavendar"
10179657355,"Tangerine","Pot of Gold","Jack Frost"
10176582087,"Las Vegas Bubba Kush","Girl Scout Cookies","Black Dog"
10175028993,"Sweet Tooth","GG #6","Berry Gelato"
10168633491,"Girl scout cookie","Master lemon kush","Berry white"
10168553663,"GG4","GSC","Alien Kush"
10166785910,"Herijuana ","",""
10166774106,"Chad Bud","Acapulco Gold","Creeper"
10166125436,"Whatever is available","",""
10166086781,"home grown","",""
10164798083,"Sweet tooth","1:01","Blue dream"
10163869931,"Northern lights","Pineapple express","Caramelicious"
10159689338,"Sour diesel","Buddha’s sister","Grape god"
10156521325,"Lemon Jeffery","Og kush","Grape god"
10148289731,"Gorilla Glue #4","Lemon Jeffrey","Chem Dawg"
10146296373,"Blue dream","Kush","Anything indica"
10142993231,"Buddha's Sister","Flo","Bruce Banner"
10142762492,"maes Cannatonic","Harlequin","Big Bud"
10142214540,"girl scout cookie ","mimosa ","jilly bean "
10140183753,"Strawberry cough/// mood enhancer","Train wreck /// pain relief","Grape ape /// sleep aide"
10138761669,"Sour Tangie","Citrique ","Double Black Domina"
10133313827,"Gg4","Chuck og","Sour desiel"
10131726683,"Meltdown ","OG ","Lee Roy"
10131300085,"Citrus sap ","Chuck og","Bruce Banner 3"
10131192376,"Granddaddy Purple","Hindu Kush","Mimosa"
10131149670,"Gorilla glue","Tres sister","Bio deisel"
10131117879,"Shark Shock and ALL HIGH CBD STRAINS ","AC/DC","Granddaddy Purple"
10129670801,"Pink Lemonade","Platinum Wreck","Alien OG"
10129657579,"Las Vegas Bubba Kush","Peach Puree","Sunshine Daydream"
10129349932,"Blue dream ","Jacksons jambo","Grand daddy purple"
10128374991,"Starwood","Unknown","Vyper"
10128026830,"Chemdawg","Wedding cake","Dumpster"
10127959516,"blissful wizard","lemon","gg4"
10127844274,"Redline ","Lemon","OG Kush"
10127786477,"Gorilla Glue #4","Chuck OG","Grease Monkey"
10127640903,"Hawaiian Spice","Blue Dream","Triangle Kush"
10127434115,"Not sure ","Not sure ","Not sure "
10127186413,"OMG","Diesel","Indica"
10120474217,"Lemon Meringue ","Super Lemon Haze","Kosher Tangie "
10118545790,"Grape God","Lemon Jeffrey","Peach Purée "
10117806489,"grape god","lemon jeffrey","gg4"
10113145654,"Northern Lights","Super Silver Haze","Bubba Kush"
10113045616,"Lemon Jeffrey ","Wedding Cake ","Strawberry fields "
10112996557,"Scott’s OG","Night nurse","Girl Scout cookie "
10104860194,"Hshsj","",""
10104651807,"AK-47","CHOCOLOPE","BIG BUD"
