"id","Strain 1","Strain 2","Strain 3"
NA,"Strain 1","Strain 2","Strain 3"
11320679343,"Gold or diesel OG","Lee roy","Citrix"
11320098769,"Sour Diesel","Blue Cheese","Tangerine Haze"
11240366384,"Durban Poison ","Cinex","Blue City Diesel"
11121905332,"Blue Dream","Mob Boss","Wedding Crasher"
11111801761,"Brownie Scout ","Walker Kush","French Toast "
11095988184,"GG#4","Facewreck","Blue Dream"
10994127240,"Lambs bread","Sour diesel ","Captains cake"
10950506255,"Lemon Skunk","Swamp Thing","Super Skunk"
10937584160,"Cw cbd hemp oil ","Smoking flower Indica","Thc shatter"
10880665922,"Rare Dream","Gorilla Wreck ","Charlottes Web"
10677555646,"Cinderella 99","Black domina","High CBD strains "
10647197076,"Wedding Cake","Blue Dream","Cornbread"
10633844023,"Gorilla glue","Bio diesel ","Sour diesel"
10631124791,"gg4","",""
10630387074,"Banana Split","Inzane in the membrane","Bio Diesel"
10627667913,"Cheese","Bio Diesel","Guava D"
10626429877,"Indica ","",""
10623964351,"Purple haze","Lemon ice","Weed whacked"
10621098231,"Pineapple Express ","Guava D","Bruce banner "
10617990640,"Platinum Kush","Gorilla Glue 4","Stardawg"
10617352263,"Tangie","Banana split ","Bruce banner #3"
10617106666,"They are all nasty","They are all nasty","They are all nasty"
10616891358,"blue nina","jack herer","something goat or goat something- I forgot name"
10616732328,"Night Terror","Night Nurse ","Trainwreck"
10616607453,"Lemon ice","Lemon skunk","Lemon haze"
10616000680,"Bubba Kush","Chemdawg","Sour Diesel"
10615762014,"lemon skunk","lemon jeffrey","girl scout cookie"
10615607693,"Wedding cake ","Jilly bean ","Scott’s og"
10615543776,"Banana split","Lemon Jeffery ","Gg4"
10615475788,"Pineapple Express","Kush","Skunk "
10615389728,"Hybrid ","Sativa","Indica"
10615382686,"Las Vegas Buba Kush","Girl Scout Cookies","Lemon Jeffery"
10607912288,"Meltdown","VYB Float","Jack Herer"
10598611443,"Bruce Banner","Purple Trainwreck","White Strwberry Diesel"
10597392309,"Pink Champagne","Grape God","Girl Scout Cookie"
10585127234,"707 truthband","Cookies n cream","Kosher kush"
10584635591,"Sour Diesel","Blue Dream","BIo Diesel"
10572726875,"Haze","Kush","Blueberry Cheese"
10567487173,"Rick Simpson Oil","",""
10554448933,"Strawberry Fields","Chocolope","Wedding Cake"
10552807575,"Deathstar","the Wife","Chem Dank x slymerwood"
10550852127,"Night nurse","Doc holliday","Guava d"
10539029989,"Sour Tangie","Lemon Skunk","Mother of Berries"
10516361607,"sour diesel","og kush","high CBD strains"
10499323228,"Sour Candy","Diesel Dough","88g13 hashplant"
10490532265,"Lee Roy","Durban Poison","Do Si Dos"
10482114257,"Redline","Lemon Merigune","VYB Peak"
10468360710,"gg3","lemon jeffery","bio diesel"
10464834197,"Blueberry","Hashplant","GSC"
10463520639,"Black Triangle Kush","GG4","Flo"
10448976285,"Snow Dog","Pangea","Jack Herer"
10444236346,"Bio diesel","Gorilla glue","Grape god"
10427038209,"Lemon Jeffery","Grateful Breath","Orange Krush"
10416058133,"hybrid/sativa","hybrid/indaca","sativa"
10390735914,"Gorilla glue","Blue dream","Chem dog"
10389819413,"Sativa","Indica",""
10389814869,"Sour diesel","",""
10389539123,"Lemon Jeffrey","Cheesecake ","Sour Diesel"
10384460168,"Gg4","CSC","Lotus"
10374356525,"1:01","",""
10374354669,"Tang Tang Kunduz","Black Mamba","GG4"
10368261978,"Mr. Clean","Stardawg","G88 Hashplant"
10361398461,"N/a","",""
10360477263,"24K","Lemon Meringue","Chocolate Oranges"
10355975067,"3D (sativa)","Lemon Meringue (sativa)","Chocolate Oranges (indica)"
10353027281,"Tang tang Afghani","Double stuff","Purple Lamborghini"
10349445006,"high CBD","",""
10340116686,"GG4","Bootylicious ","Blue dream "
10338548186,"Buddhas sister ","Tangi","Gg"
10332101269,"Headband","Durban Poison","OG 99"
10332089931,"Killer Queen","Sour Diesel","Lemon Lime Punch"
10323152506,"Pure CBD Oil with Hemp Seed Oil","Pure CBD Oil with Hemp Seed Oil","Pure CBD Oil with Hemp Seed Oil"
10314764856,"Indica","Hybrid sativa dominate","Sativa"
10313637005,"Shark Shock","Herijuana","Special Sauce"
10313041082,"Any indica higher thc %","Sweet tooth","Gg4"
10312356549,"blue dream","",""
10311833804,"GG4","Tangie 2:1","Purple Lamborghini "
10308943093,"Tang Tang x Afghani","",""
10307731360,"Cookies & cream","GG","TBD"
10304447243,"GDP","3 Gorillas ","Moonrise "
10301544217,"Swamp thing","GG#4","Blue dream"
10300721133,"no preference","no preference","no preference"
10291978182,"Sour diesel","Blue dream","God green crack"
10291238913,"Highwayman","Clean man","Stawdowg"
10289128872,"Northern lights","Jack herer","Green crack"
10288934828,"Indica","Blueberry","anything Purple"
10288684650,"Master Kush x Skunk","Banana OG","Deep Chunkolate"
10285851934,"Purple Lamborghini","Gorilla Glue","Chem 4"
10282696179,"Not sure - mostly use gummies and tinctures","Not sure","Not Sure"
10280619911,"sunset sherbet","mimosa","N/a"
10280513706,"Meltdown ","Blueberry","Diesel Dough "
10278530046,"Dosido","Melt Down ","Lemon Meringue "
10275638274,"Sour Diesel","Golden Strawberry","ACDC"
10273619577,"perla","gemma","balder"
10270973993,"clementine ","jack","hawaii spice"
10265706943,"Green crack","X 18","Gelato #33"
10265063063,"Super Lemon Haze","White Rhino","NYC Diesel"
10264278489,"Kush","Ghost train haze","Flo"
10260585584,"Gdp","Meltdown","Black mumba"
10260573889,"Blue dream","Gdp","The evelyne"
10260504037,"Girl Scout cookie ","Jack Frost ","Cookie and cream "
10260087945,"? I don’t know much about strains","?","?"
10259196295,"High CBD, low THC","High THC, low CBD","Balanced CBD and THC"
10256752506,"Blue dream ","Tri wifi","Mimosa"
10256517627,"Flo OG","",""
10256255317,"GOD FATHER OG","CHEMDAWG","ROYAL-BLUEMATIC"
10253887260,"blue dream","purple kush","kush dawg"
10253881475,"sour diesal","grape street","black mamba"
10253880474,"Lemon meringue","Citrica","Stardawg"
10253880384,"Sour diesle","Ggg","Tangie"
10253635749,"n/a","n/a","n/a"
10250278548,"Sour diesel","Star killer","Chocolate oranges"
10249664681,"Sour Diesel","Green Crack","GG4"
10248976030,"Bubble Gum","Hemlock","Hash"
10248414752,"Indica","Sativa","Kush"
10248394143,"Don’t know","",""
10247895568,"I have not been provided an option to even choose","I have not been provided an option to even choose","I have not been provided an option to even choose"
10247692900,"Glorilla Glue","Lemon Squeeze","Anytime cbd tinture"
10247538120,"Blue dreams","Skunk og kush","Bubba"
