"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules"
11250741921,"","","","1000+ mg","","","","","",""
11239200945,"","","","6-25 mg","","","","","",""
11236750096,"","","","51-100 mg","","","","","",""
11226611149,"","","","","","","","","",""
11215559561,"","","","None","","","","","",""
11214928564,"","","","I don't know how much I use per week","","","","","",""
11211717848,"","","","501-1000 mg","","","","I don't know how much I use per week","","None"
11166390085,"","","","101-200 mg","","","","","","101-200 mg"
11161813510,"","","","26-50 mg","","","","","",""
11148362084,"","","","5 mg","","","","","",""
11140569970,"","","","I don't know how much I use per week","","","","","",""
11137652132,"","","","51-100 mg","","","","","","26-50 mg"
11135990132,"","","","1000+ mg","","","","","",""
11135849827,"","","","5 mg","","","","","",""
11135570279,"","","","501-1000 mg","","","","26-50 mg","","501-1000 mg"
11134799419,"","","","51-100 mg","","","","","",""
11134698105,"","","","501-1000 mg","","","","","",""
11134572563,"","","","101-200 mg","","","","None","None","None"
11134478610,"","","","I don't know how much I use per week","","","","I don't know how much I use per week","",""
11132638848,"","","","I don't know how much I use per week","","","","","",""
11105188699,"","","","1000+ mg","","","","","","51-100 mg"
11062634752,"","","","I don't know how much I use per week","","","","","",""
11054783496,"","","","","","","","","",""
11030978965,"","","","201- 500 mg","","","","","",""
11027692007,"","","","26-50 mg","","","","","",""
11023090140,"","","","201- 500 mg","","","","","",""
10922773382,"","","","6-25 mg","","","","","",""
10893948558,"","","","26-50 mg","","","","","",""
10883497633,"","","","I don't know how much I use per week","","","","","","None"
10880715177,"","","","26-50 mg","","","","","",""
10877788133,"","","","26-50 mg","","","","","",""
10877565497,"","","","51-100 mg","","","","","",""
10877194985,"","","","101-200 mg","","","","","",""
10876100377,"","","","I don't know how much I use per week","","","","","",""
10875944995,"","","","26-50 mg","","","","","",""
10875696093,"","","","","","","","","",""
10875617011,"","","","I don't know how much I use per week","","","","","",""
10875530570,"","","","I don't know how much I use per week","","","","","","I don't know how much I use per week"
10875507777,"","","","26-50 mg","","","","","",""
10875458883,"","","","51-100 mg","","","","","",""
10872131442,"","","","101-200 mg","","","","","",""
10867812743,"","","","I don't know how much I use per week","","","","","",""
10867615622,"","","","","","","","","",""
10865132242,"","","","6-25 mg","","","","","",""
10860704252,"","","","6-25 mg","","","","","",""
10857725293,"","","","6-25 mg","","","","","",""
10856003172,"","","","6-25 mg","","","","","",""
10850929741,"","","","","","","","","",""
10848742483,"","","","101-200 mg","","","","","",""
10848597634,"","","","None","","","","","","None"
10848029491,"","","","501-1000 mg","","","","","",""
10847172551,"","","","6-25 mg","","","","51-100 mg","","6-25 mg"
10847009623,"","","","","","","","","",""
10845744369,"","","","I don't know how much I use per week","","","","","",""
10844338129,"","","","201- 500 mg","","","","5 mg","6-25 mg",""
10844213348,"","","","201- 500 mg","","","","","",""
10843856498,"","","","None","","","","","",""
10843819934,"","","","","","","","","",""
10840899449,"","","","101-200 mg","","","","","",""
10834663571,"","","","I don't know how much I use per week","","","","","I don't know how much I use per week","I don't know how much I use per week"
10833722328,"","","","I don't know how much I use per week","","","","","",""
10832233395,"","","","I don't know how much I use per week","","","","","",""
10832233224,"","","","26-50 mg","","","","","","6-25 mg"
10832191551,"","","","6-25 mg","","","","","",""
10832128566,"","","","","","","","","",""
10831669468,"","","","501-1000 mg","","","","","","51-100 mg"
10822875373,"","","","None","","","","","",""
10749222846,"","","","I don't know how much I use per week","","","","","","I don't know how much I use per week"
10709051382,"","","","51-100 mg","","","","","",""
10691181667,"","","","5 mg","","","","","",""
10688508584,"","","","101-200 mg","","","","","",""
10681003613,"","","","5 mg","","","","","",""
10675303210,"","","","501-1000 mg","","","","","",""
10668597062,"","","","I don't know how much I use per week","","","","","",""
10658550964,"","","","1000+ mg","","","","","",""
10648772348,"","","","1000+ mg","","","","","","501-1000 mg"
10598221024,"","","","51-100 mg","","","","","",""
10597419828,"","","","I don't know how much I use per week","","","","","",""
10575282159,"","","","101-200 mg","","","","","",""
10575274340,"","","","201- 500 mg","","","","51-100 mg","",""
10569704133,"","","","1000+ mg","","","","","","201- 500 mg"
10600284760,"","","","I don't know how much I use per week","","","","","",""
10598306507,"","","","6-25 mg","","","","","",""
10686658652,"","","","I don't know how much I use per week","","","","","",""
10667647030,"","","","26-50 mg","","","","","",""
