"id","Strain 1","Strain 2","Strain 3"
11327669448,"Do-si-do","blueberry kush","sour diesel"
11320679343,"Gold or diesel OG","Lee roy","Citrix"
11320098769,"Sour Diesel","Blue Cheese","Tangerine Haze"
11310196747,"Flo","Hawaiian spice","Agent orange"
11148895510,"White Widow","Bruce Banner 4","OG kush "
11121905332,"Blue Dream","Mob Boss","Wedding Crasher"
11111801761,"Brownie Scout ","Walker Kush","French Toast "
11095988184,"GG#4","Facewreck","Blue Dream"
11095751213,"Critical Sensei Star","Garlic Grove","9 pound hammer"
11087356997,"don't know","don't know","don't know"
10994127240,"Lambs bread","Sour diesel ","Captains cake"
10958082921,"Wedding Cake ","Gorilla Glue","Skunk"
10950506255,"Lemon Skunk","Swamp Thing","Super Skunk"
10677555646,"Cinderella 99","Black domina","High CBD strains "
10667060651,"Purple mayhem","Brownie scout","White 99"
10647197076,"Wedding Cake","Blue Dream","Cornbread"
10633844023,"Gorilla glue","Bio diesel ","Sour diesel"
10631124791,"gg4","",""
10630387074,"Banana Split","Inzane in the membrane","Bio Diesel"
10627667913,"Cheese","Bio Diesel","Guava D"
10626640573,"Bio deisel","Banana split","??"
10626429877,"Indica ","",""
10623964351,"Purple haze","Lemon ice","Weed whacked"
10621098231,"Pineapple Express ","Guava D","Bruce banner "
10618093668,"black raspberry","super lemon haze","vana white"
10617990640,"Platinum Kush","Gorilla Glue 4","Stardawg"
10617352263,"Tangie","Banana split ","Bruce banner #3"
10617106666,"They are all nasty","They are all nasty","They are all nasty"
10616891358,"blue nina","jack herer","something goat or goat something- I forgot name"
10616732328,"Night Terror","Night Nurse ","Trainwreck"
10616607453,"Lemon ice","Lemon skunk","Lemon haze"
10616000680,"Bubba Kush","Chemdawg","Sour Diesel"
10615762014,"lemon skunk","lemon jeffrey","girl scout cookie"
10615607693,"Wedding cake ","Jilly bean ","Scott’s og"
10615543776,"Banana split","Lemon Jeffery ","Gg4"
10615475788,"Pineapple Express","Kush","Skunk "
10615389728,"Hybrid ","Sativa","Indica"
10615382686,"Las Vegas Buba Kush","Girl Scout Cookies","Lemon Jeffery"
10614765881,"Meltdown","Blue Cheese","'88 G-13 Hashplant"
10607912288,"Meltdown","VYB Float","Jack Herer"
10598611443,"Bruce Banner","Purple Trainwreck","White Strwberry Diesel"
10597392309,"Pink Champagne","Grape God","Girl Scout Cookie"
10585955967,"Lemon Jeffery at Bask","Tangie by Rhythm ","Bruce Banner by Garden Remedies"
10585127234,"707 truthband","Cookies n cream","Kosher kush"
10584635591,"Sour Diesel","Blue Dream","BIo Diesel"
10571082808,"Jack Herer","Blueberry Kush","Girl scout Cookies "
10567487173,"Rick Simpson Oil","",""
10567408422,"Gorilla Glue","Northern Lights","Jack Herrer"
10564977420,"Gorilla glue","OG Kush","Mendo Breath"
10557455189,"White Fire Alien","Mango Tango","Girl Scout Cookie"
10554448933,"Strawberry Fields","Chocolope","Wedding Cake"
10550852127,"Night nurse","Doc holliday","Guava d"
10542229138,"Green Crack ","Trainwreck","Warlock "
10539029989,"Sour Tangie","Lemon Skunk","Mother of Berries"
10516361607,"sour diesel","og kush","high CBD strains"
10514133473,"ACDC","Skywalker","Harlequin"
10499323228,"Sour Candy","Diesel Dough","88g13 hashplant"
10498671034,"Blue Dream","White Widow","Forbidden Fruit"
10492240590,"Cbd","",""
10490532265,"Lee Roy","Durban Poison","Do Si Dos"
10482114257,"Redline","Lemon Merigune","VYB Peak"
10468360710,"gg3","lemon jeffery","bio diesel"
10464834197,"Blueberry","Hashplant","GSC"
10463520639,"Black Triangle Kush","GG4","Flo"
10449781605,"GG","Herijuana","Tardis"
10448976285,"Snow Dog","Pangea","Jack Herer"
10444236346,"Bio diesel","Gorilla glue","Grape god"
10442910474,"aaa","",""
10427038209,"Lemon Jeffery","Grateful Breath","Orange Krush"
10416058133,"hybrid/sativa","hybrid/indaca","sativa"
10389819413,"Sativa","Indica",""
10389814869,"Sour diesel","",""
10389539123,"Lemon Jeffrey","Cheesecake ","Sour Diesel"
10384460168,"Gg4","CSC","Lotus"
10374356525,"1:01","",""
10374354669,"Tang Tang Kunduz","Black Mamba","GG4"
10372191516,"Blue Dream","Pineapple Express","Platinum Bubba"
10368261978,"Mr. Clean","Stardawg","G88 Hashplant"
10362985928,"Sativa","",""
10361398461,"N/a","",""
10360477263,"24K","Lemon Meringue","Chocolate Oranges"
10355975067,"3D (sativa)","Lemon Meringue (sativa)","Chocolate Oranges (indica)"
10353027281,"Tang tang Afghani","Double stuff","Purple Lamborghini"
10349445006,"high CBD","",""
10344043376,"Sour Diesel","Harlequin","Tangie"
10340127453,"White Knuckles","Ghost Train Haze","Arcata Trainwreck"
10340116686,"GG4","Bootylicious ","Blue dream "
10338548186,"Buddhas sister ","Tangi","Gg"
10332101269,"Headband","Durban Poison","OG 99"
10332089931,"Killer Queen","Sour Diesel","Lemon Lime Punch"
10313637005,"Shark Shock","Herijuana","Special Sauce"
10313041082,"Any indica higher thc %","Sweet tooth","Gg4"
10311833804,"GG4","Tangie 2:1","Purple Lamborghini "
10308943093,"Tang Tang x Afghani","",""
10308744405,"2:01","any indica","any hybrid"
10307731360,"Cookies & cream","GG","TBD"
10304447243,"GDP","3 Gorillas ","Moonrise "
10304363791,"dr. grinspoon","sour diesel","gorilla glue"
10301544217,"Swamp thing","GG#4","Blue dream"
10300721133,"no preference","no preference","no preference"
10291238913,"Highwayman","Clean man","Stawdowg"
