"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules"
11250741921,"","","","1000+ mg","","","","","",""
11250528880,"","","","201- 500 mg","","","","I don't know how much I use per week","",""
11250357688,"","","","","","","","","",""
11249989922,"","","","","","","","","","501-1000 mg"
11249911719,"","","","1000+ mg","","","","","",""
11249860217,"","","","26-50 mg","","","","","","5 mg"
11249832802,"","","","","","","","","",""
11249491628,"","","","","","","","","501-1000 mg",""
11249421052,"","","","","","","","","",""
11248704898,"","","","","","","","","",""
11239077222,"","","","101-200 mg","","","","I don't know how much I use per week","",""
11239041530,"","","","I don't know how much I use per week","","","","","",""
11238774708,"","","","26-50 mg","","","","","",""
11238685800,"","","","201- 500 mg","","","","51-100 mg","",""
11238671751,"","","","","","","","","","201- 500 mg"
11238558967,"","","","1000+ mg","","","","","201- 500 mg",""
11236750096,"","","","51-100 mg","","","","","",""
11211717848,"","","","501-1000 mg","","","","I don't know how much I use per week","","None"
11188216657,"","","","","","","","","",""
11164232720,"","","","1000+ mg","","","","","","201- 500 mg"
11150766346,"","","","101-200 mg","","","","","",""
11148900374,"","","","","","","","","",""
11148362084,"","","","5 mg","","","","","",""
11142252658,"","","","","","","","","",""
11141987359,"","","","","","","","","",""
11141027225,"","","","6-25 mg","","","","","","6-25 mg"
11140621270,"","","","51-100 mg","","","","","",""
11140569970,"","","","I don't know how much I use per week","","","","","",""
11137973158,"","","","","","","","","",""
11137664485,"","","","","","","","","",""
11137570486,"","","","","","","","","",""
11136861481,"","","","","","","","","",""
11136832253,"","","","51-100 mg","","","","6-25 mg","","6-25 mg"
11136798812,"","","","6-25 mg","","","","","",""
11136795358,"","","","","","","","","",""
11135990132,"","","","1000+ mg","","","","","",""
11135916791,"","","","","","","","","",""
11135889511,"","","","51-100 mg","","","","","",""
11135849827,"","","","5 mg","","","","","",""
11135778856,"","","","I don't know how much I use per week","","","","","",""
11135727852,"","","","","","","","","",""
11135570279,"","","","501-1000 mg","","","","26-50 mg","","501-1000 mg"
11135531344,"","","","201- 500 mg","","","","","",""
11135476295,"","","","","","","","","","1000+ mg"
11135466512,"","","","I don't know how much I use per week","","","","","",""
11135411524,"","","","501-1000 mg","","","","","","1000+ mg"
11135389919,"","","","1000+ mg","","","","501-1000 mg","201- 500 mg",""
11135380294,"","","","I don't know how much I use per week","","","","I don't know how much I use per week","","I don't know how much I use per week"
11135238481,"","","","","","","","","",""
11135212674,"","","","","","","","","",""
11135151906,"","","","I don't know how much I use per week","","","","","",""
11135136344,"","","","","","","","51-100 mg","",""
11135122023,"","","","","","","","","",""
11135087208,"","","","51-100 mg","","","","","",""
11135054557,"","","","I don't know how much I use per week","","","","","",""
11135022253,"","","","","","","","","",""
11135019994,"","","","26-50 mg","","","","","",""
11134932854,"","","","","","","","","",""
11134926998,"","","","","","","","","",""
11134799419,"","","","51-100 mg","","","","","",""
11134769709,"","","","","","","","","",""
11134708109,"","","","I don't know how much I use per week","","","","","",""
11134698105,"","","","501-1000 mg","","","","","",""
11134691787,"","","","51-100 mg","","","","","",""
11134647286,"","","","51-100 mg","","","","","",""
11134572563,"","","","101-200 mg","","","","None","None","None"
11134549629,"","","","6-25 mg","","","","","",""
11134536706,"","","","","","","","","",""
11134531419,"","","","I don't know how much I use per week","","","","","",""
11134530007,"","","","","","","","","",""
11134526749,"","","","","","","","","","26-50 mg"
11134508380,"","","","51-100 mg","","","","","",""
11134504342,"","","","","","","","","",""
11134478610,"","","","I don't know how much I use per week","","","","I don't know how much I use per week","",""
11134452367,"","","","","","","","","","6-25 mg"
11134451924,"","","","","","","","","",""
11134445906,"","","","6-25 mg","","","","","",""
11134443636,"","","","","","","","","",""
