"id","Strain 1","Strain 2","Strain 3"
11310196747,"Flo","Hawaiian spice","Agent orange"
11240366384,"Durban Poison ","Cinex","Blue City Diesel"
10647197076,"Wedding Cake","Blue Dream","Cornbread"
10626640573,"Bio deisel","Banana split","??"
10615762014,"lemon skunk","lemon jeffrey","girl scout cookie"
10607912288,"Meltdown","VYB Float","Jack Herer"
10557455189,"White Fire Alien","Mango Tango","Girl Scout Cookie"
10544524568,"Tangie","Orange Zkittles ","OG Kush"
10498671034,"Blue Dream","White Widow","Forbidden Fruit"
10464834197,"Blueberry","Hashplant","GSC"
10332101269,"Headband","Durban Poison","OG 99"
10308943093,"Tang Tang x Afghani","",""
10289128872,"Northern lights","Jack herer","Green crack"
10275638274,"Sour Diesel","Golden Strawberry","ACDC"
10255028590,"Magic Beans ( beta carophyleene) ?","Magic Beans ;-) ","Platinum OG"
10250278548,"Sour diesel","Star killer","Chocolate oranges"
10249664681,"Sour Diesel","Green Crack","GG4"
10248394143,"Don’t know","",""
10246614299,"Melodious funk&jack","Mt.tom",""
10242393876,"Indica","Hybrid ","Sativa "
10239109393,"Kush","Haze","20:01"
10235873040,"Blueberry og","",""
10231068611,"White harmony ","Gelato #33","Mag mile "
10230598781,"sour diesel","blue dream ","cannatonic"
10230431590,"indigo","sativa","mixed"
10230346299,"Durban poison","Blue dream","Headband"
10230171943,"Indica","Indica","Indica"
10229883527,"Girl Scout cookies ","Jack Herer","Royal Gorilla "
10229707932,"Granddaddy Purple Gdp Indica. ","Bubba Kush Bk Indica","Northern Lights Nl Indica"
10229680195,"L'Orange","Sour Diesel","Super Lemon Haze"
10229627874,"Indica","S",""
10229610141,"unknown","unknown","unknown"
10229601010,"Jack harer ","Sour cookies ","Animal cookies "
10229352625,"Lemon G","Durban Poison","Sherbert"
10229328989,"Harliquien","Blue Dream","Durban Poison"
10229310948,"LA Confidential","Durban poison","Chocolope"
10225562804,"Northern Lights","Grand Daddy Purp","Chocolate Oranges"
10215597692,"Indica-stain unknown","",""
10214140927,"Blue Dream","Green Crack","Sour Diesel"
10212896873,"Bubba Kush","Sour Diesel","Death Star"
10211143094,"Sour Diesel","God's Gift","Girl Scout Cookies"
10210882547,"Black Raspberry","Gorilla Glue","Mimosa"
10205960203,"Sour Diesel","Vyb Boost","Girl Scout Cookies"
10199505748,"Bangin' Ticket","Sweet Tooth","3D #4"
10198147123,"Tangie","Agent Orange","Sour Diesel"
10196435492,"Blue Dream","Sweet Tooth","Girl Scout Cookies"
10192575549,"Sour Jack","Diesel",""
10192485669,"blueberry headband","montenuska thunderfuck","these names are so stupid, please, please, PLEASE change the naming of your strains, cannabis industry"
10192041422,"Mandarin Jack","GG4","My Own"
10191743884,"Blue dragon","Northern lights","Something with a strong body high"
10191618664,"Blue Dream","Granddaddy purple kush","Sour diesel "
10191237902,"sour tangie","sapphire","mandarin cookies"
10190711176,"dont know","",""
10188601839,"Girl Scout Cookie","Gorilla Glue","Lemon Meringue"
10187563095,"Green crack","Gorilla glue","OG kush"
10186281148,"Jack Herer","GSC","Mobsta (a local GSC x Dream Cookie Cake hybrid)"
10186078923,"sour diesel","jack herer","blue cheese"
10180792818,"idk","idk","idk"
10179920502,"Jack Herer","O R Kush","Black Mamba"
10179669534,"Gorilla Glue #4","Afgan Kush","OG Kush"
10179330306,"sativa","hybrid - sativa dominant","gorilla glue"
10178986427,"Blue dream ","Sky walker OG","Cheese (any) "
10176933598,"Black Triangle Kush","Buddah's Sister","Cookies and Cream"
10172221711,"Purple dawg","Sour diesel","Haze"
