"id","Strain 1","Strain 2","Strain 3"
11320098769,"Sour Diesel","Blue Cheese","Tangerine Haze"
11148895510,"White Widow","Bruce Banner 4","OG kush "
11111801761,"Brownie Scout ","Walker Kush","French Toast "
10994127240,"Lambs bread","Sour diesel ","Captains cake"
10617990640,"Platinum Kush","Gorilla Glue 4","Stardawg"
10617352263,"Tangie","Banana split ","Bruce banner #3"
10617106666,"They are all nasty","They are all nasty","They are all nasty"
10616891358,"blue nina","jack herer","something goat or goat something- I forgot name"
10616000680,"Bubba Kush","Chemdawg","Sour Diesel"
10615762014,"lemon skunk","lemon jeffrey","girl scout cookie"
10615382686,"Las Vegas Buba Kush","Girl Scout Cookies","Lemon Jeffery"
10585127234,"707 truthband","Cookies n cream","Kosher kush"
10544586314,"Gorilla Glue","Skywalker OG","Indict Don Hybrids"
10542229138,"Green Crack ","Trainwreck","Warlock "
10448976285,"Snow Dog","Pangea","Jack Herer"
10427038209,"Lemon Jeffery","Grateful Breath","Orange Krush"
10314764856,"Indica","Hybrid sativa dominate","Sativa"
10312356549,"blue dream","",""
10311833804,"GG4","Tangie 2:1","Purple Lamborghini "
10304363791,"dr. grinspoon","sour diesel","gorilla glue"
10301544217,"Swamp thing","GG#4","Blue dream"
10291978182,"Sour diesel","Blue dream","God green crack"
10285851934,"Purple Lamborghini","Gorilla Glue","Chem 4"
10282696179,"Not sure - mostly use gummies and tinctures","Not sure","Not Sure"
10281129055,"Hybrid ","Sativa","Indica"
10263513014,"Golden Goat","Blue Dream","Gorrilla Glue"
10260087945,"? I don’t know much about strains","?","?"
10259196295,"High CBD, low THC","High THC, low CBD","Balanced CBD and THC"
10256517627,"Flo OG","",""
10253880384,"Sour diesle","Ggg","Tangie"
10249664681,"Sour Diesel","Green Crack","GG4"
10247119003,"Deep chunkolate","Black triangle kush","Blue dream"
10239531679,"CBD","THC",""
10236321663,"Gorila Glue","Pineapple Afgany",""
10236223392,"Strawberry Diesel","Gorilla Glue #4","Harlequin"
10235638327,"Indica","Sativa",""
10234579821,"Frida","Harlequin ","Kosher Kush"
10234061188,"Feel Relaxed Tincture","Bubba Kush vape cartridge","Feel Comfort Tincture"
10233901115,"Boaty McBoatface(CBD Medihaze)","Bakerstreet(Hindu Kush)","Lemonskunk(DNA Genetics)"
10233496428,"Sin Mint","Cornbread","Sour Diesel"
10233431423,"Sativa","",""
10233142044,"White Widow","Cannatonic","Super Lemon Haze"
10231985248,"Vanilla kush","gorilla glue","Grand daddy purple"
10231913670,"CBD","CBD indica hybrid","Indica"
10231654493,"Star cookie","Star killer","Chocolate oranges"
10231390490,"Don’t have one yet","Don’t have one yet","Don’t have one yet"
10231320543,"Blue Dream","XJ 13","Fire OG"
10231285230,"Mango ","Grand daddy purple ","Shiva  skunk"
10231064348,"White Widow ","ACDC","CBD"
10231048727,"Blue Dream","Strawberry Cough","Cherry Pie"
10230729526,"Harlequin ","CBD Blessings","CBD Mixed"
10230701658,"OG Kush","N. Lights","Blueberry Haze"
10230536550,"Ac/Dc","Charlottes web","Others"
10230530276,"Indica","Sativa",""
10230517511,"I don't know ","",""
10230474596,"Train Wreck","Headband","Jack Herer"
10230334342,"Indica","Hybrid ","Sativa"
10230326071,"sour kush","grandaddy purple","pineapple chunk"
10230162539,"Red Congolese","Gorilla Glue","Green Goddess"
10229872745,"9 lb. Hammer","",""
10229839162,"Sour Tsunami","Ringo's Gift",""
10229782200,"Evelyn","Granddaddy Purple","Blueberry "
10229779148,"Strawberry Cheesecake","Gods Lemon Skunk","Pineapple Express"
10229707932,"Granddaddy Purple Gdp Indica. ","Bubba Kush Bk Indica","Northern Lights Nl Indica"
10229706080,"Indica","Tikum Olam",""
10229685334,"northern lights","blueberry","white rhino"
10229684451,"Dosidos by Culta","Nom Nom","Flo"
10229666678,"No favorite ","No favorite ","No favorite "
10229649057,"Golden Goat","Blue Dream","Grape Ape"
10229641829,"Auto amnesia xxl ","Blue automazar ","Local sativa "
10229621245,"AC/DC","Pre 98 Bubba Kush","Scout Cookies"
10229608780,"Purple urkle","Zkittlez ","Jack Herer "
10229605070,"The Remedy (CBD)","Querkle (Indica dominant)","Blue Power (indica dominant)"
10229595919,"CBD","Indica",""
10229590537,"Pineapple Express","Biscotti Kush","Lemon Haze"
10229570428,"Congolese","Super Bubba","Comatose"
10229538834,"Unknown","Unknown","Unknown"
10229505070,"Northern Lights","Purple Kush","White Widow"
10229502714,NA,NA,NA
10229491086,"Cornbread","Ace of Spades","Chronic Thunder"
10229477413,"Kush","Girl Scout Cookie","Gorilla Glue"
10229453603,"Purple urple","Golden pineapple","Dutchberry"
10229414081,"ACDC","CBD",""
10229408873,"Durban Poison","Cannatonic","Tahoe OG Kush"
10229400598,"Un named hybrid cookies","CBD oils","Jack herrer"
10229397458,"sour diesel","blueberry cookies","blue dream"
10229388787,"Master Kush","GSC","Northern Lights"
10229370437,"Kush","",""
10229369078,"?","",""
10229359369,"Medical Mass CBD","Grand daddy Purple","Blue Dream"
10229331171,"Platinum","AC/DC ","?"
10229304627,"Indica","Sativa",""
10229301530,"Katsu Bubba Kush","Blueberry Cobbler CBD","Sour Kush"
10229300055,"Girl Scout Cookies","Bruce Danner","Blue Dream"
10229291368,"Blue Dream","",""
10223907822,"Sunset sherbert","Gods gift","Mother of berries cbd "
10218514481,"Sundae Driver","Blueberry ","GG"
10215597692,"Indica-stain unknown","",""
10213685358,"California Orange ","Gorilla Glue #4","Pink Panther "
10210067913,"Purple Orange","OG Kush","Sour Diesel"
10206706929,"full spectrum CBD","Agent Orange","Last Jedi"
10201740973,"Pink Kush","Do-Si-Dos","Wedding Cake"
10194559499,"N/a","",""
10192995461,"Durban Poison","Medussa","Blackwater"
10192572679,"9 Lb Hammer","Grand daddy purple","Girl Scout Cookies"
10189186912,"Snoop dog","Dutch dragon","Trainwreck"
10188835145,"Skunk ","White widow ","Durban poison"
10188650039,"Red headed stranger","Blue dream","Bubba kush"
10188478016,"Buddha's Sister","Heavenly Haze","Citrix"
10188408371,"Cinderella99","",""
10186789647,"Tardis #9","Skywalker OG","White Rino"
10185410224,"Trainwreck","OG Kush","Chocolate Oranges"
10184855403,"Mob ","Tangie ","G13"
10183761350,"Roadkill skunk","Lemon jeffrey","Bio diesel"
10179433467,"Sour Diesel","Kush","Blue Dream"
10178573973,"pennywise","purple chem","tangerine haze"
10176933598,"Black Triangle Kush","Buddah's Sister","Cookies and Cream"
10176582087,"Las Vegas Bubba Kush","Girl Scout Cookies","Black Dog"
10176321017,"blue dream","train wreck","Black dog"
10176219723,"Just use edibles","",""
10175028993,"Sweet Tooth","GG #6","Berry Gelato"
10171829091,"Not sure yet","See above","See above "
10168741975,"Og","Sour","Kush"
10168553663,"GG4","GSC","Alien Kush"
10167747571,"Sativa","Hybrid","Indica"
10166774106,"Chad Bud","Acapulco Gold","Creeper"
10166704081,"Gummies ","Smoke","Cream"
