"id","Strain 1","Strain 2","Strain 3"
11327669448,"Do-si-do","blueberry kush","sour diesel"
11320679343,"Gold or diesel OG","Lee roy","Citrix"
11310196747,"Flo","Hawaiian spice","Agent orange"
11240366384,"Durban Poison ","Cinex","Blue City Diesel"
11177812554,"AK47","NORTHERN LIGHTS","GRAPEFRUIT"
11148895510,"White Widow","Bruce Banner 4","OG kush "
11111801761,"Brownie Scout ","Walker Kush","French Toast "
11095988184,"GG#4","Facewreck","Blue Dream"
11095751213,"Critical Sensei Star","Garlic Grove","9 pound hammer"
10994127240,"Lambs bread","Sour diesel ","Captains cake"
10958082921,"Wedding Cake ","Gorilla Glue","Skunk"
10950506255,"Lemon Skunk","Swamp Thing","Super Skunk"
10880665922,"Rare Dream","Gorilla Wreck ","Charlottes Web"
10667060651,"Purple mayhem","Brownie scout","White 99"
10647197076,"Wedding Cake","Blue Dream","Cornbread"
10633844023,"Gorilla glue","Bio diesel ","Sour diesel"
10626640573,"Bio deisel","Banana split","??"
10623964351,"Purple haze","Lemon ice","Weed whacked"
10617352263,"Tangie","Banana split ","Bruce banner #3"
10617106666,"They are all nasty","They are all nasty","They are all nasty"
10616891358,"blue nina","jack herer","something goat or goat something- I forgot name"
10616732328,"Night Terror","Night Nurse ","Trainwreck"
10616607453,"Lemon ice","Lemon skunk","Lemon haze"
10616000680,"Bubba Kush","Chemdawg","Sour Diesel"
10615762014,"lemon skunk","lemon jeffrey","girl scout cookie"
10615607693,"Wedding cake ","Jilly bean ","Scott’s og"
10615543776,"Banana split","Lemon Jeffery ","Gg4"
10615475788,"Pineapple Express","Kush","Skunk "
10615382686,"Las Vegas Buba Kush","Girl Scout Cookies","Lemon Jeffery"
10614765881,"Meltdown","Blue Cheese","'88 G-13 Hashplant"
10607912288,"Meltdown","VYB Float","Jack Herer"
10598611443,"Bruce Banner","Purple Trainwreck","White Strwberry Diesel"
10584635591,"Sour Diesel","Blue Dream","BIo Diesel"
10567487173,"Rick Simpson Oil","",""
10567408422,"Gorilla Glue","Northern Lights","Jack Herrer"
10564977420,"Gorilla glue","OG Kush","Mendo Breath"
10554448933,"Strawberry Fields","Chocolope","Wedding Cake"
10550852127,"Night nurse","Doc holliday","Guava d"
10544586314,"Gorilla Glue","Skywalker OG","Indict Don Hybrids"
10544524568,"Tangie","Orange Zkittles ","OG Kush"
10539029989,"Sour Tangie","Lemon Skunk","Mother of Berries"
10514133473,"ACDC","Skywalker","Harlequin"
10498671034,"Blue Dream","White Widow","Forbidden Fruit"
10490532265,"Lee Roy","Durban Poison","Do Si Dos"
10482114257,"Redline","Lemon Merigune","VYB Peak"
10464834197,"Blueberry","Hashplant","GSC"
10460681546,"Girl Scout Cookies (original)","Gelato","Wedding Cake"
10449781605,"GG","Herijuana","Tardis"
10448976285,"Snow Dog","Pangea","Jack Herer"
10444236346,"Bio diesel","Gorilla glue","Grape god"
10442910474,"aaa","",""
10427038209,"Lemon Jeffery","Grateful Breath","Orange Krush"
10416058133,"hybrid/sativa","hybrid/indaca","sativa"
10390735914,"Gorilla glue","Blue dream","Chem dog"
10389539123,"Lemon Jeffrey","Cheesecake ","Sour Diesel"
10384460168,"Gg4","CSC","Lotus"
10374356525,"1:01","",""
10374354669,"Tang Tang Kunduz","Black Mamba","GG4"
10368261978,"Mr. Clean","Stardawg","G88 Hashplant"
10361398461,"N/a","",""
10360477263,"24K","Lemon Meringue","Chocolate Oranges"
10355975067,"3D (sativa)","Lemon Meringue (sativa)","Chocolate Oranges (indica)"
10353027281,"Tang tang Afghani","Double stuff","Purple Lamborghini"
10351985976,"Kush","Sativa","Indica"
10340127453,"White Knuckles","Ghost Train Haze","Arcata Trainwreck"
10340116686,"GG4","Bootylicious ","Blue dream "
10338548186,"Buddhas sister ","Tangi","Gg"
10332101269,"Headband","Durban Poison","OG 99"
10332089931,"Killer Queen","Sour Diesel","Lemon Lime Punch"
10323152506,"Pure CBD Oil with Hemp Seed Oil","Pure CBD Oil with Hemp Seed Oil","Pure CBD Oil with Hemp Seed Oil"
10320895144,"Derban poison","Jack Herer","Cherry AK47"
10314764856,"Indica","Hybrid sativa dominate","Sativa"
10313637005,"Shark Shock","Herijuana","Special Sauce"
10313041082,"Any indica higher thc %","Sweet tooth","Gg4"
10312356549,"blue dream","",""
10308943093,"Tang Tang x Afghani","",""
10308744405,"2:01","any indica","any hybrid"
10307731360,"Cookies & cream","GG","TBD"
10304447243,"GDP","3 Gorillas ","Moonrise "
10304363791,"dr. grinspoon","sour diesel","gorilla glue"
10301544217,"Swamp thing","GG#4","Blue dream"
10291238913,"Highwayman","Clean man","Stawdowg"
10289128872,"Northern lights","Jack herer","Green crack"
10288934828,"Indica","Blueberry","anything Purple"
10288684650,"Master Kush x Skunk","Banana OG","Deep Chunkolate"
10285851934,"Purple Lamborghini","Gorilla Glue","Chem 4"
10280889006,"Blueberry ","Gelato","Harlequin "
10280619911,"sunset sherbet","mimosa","N/a"
10280513706,"Meltdown ","Blueberry","Diesel Dough "
10274419066,"Sour deisle","Birthday cake","Blueberry "
10273619577,"perla","gemma","balder"
10263390124,"unknown","unknown","unkown"
10263250071,"3 chems","Dosido #22","Grand daddy purple"
10260585584,"Gdp","Meltdown","Black mumba"
10260573889,"Blue dream","Gdp","The evelyne"
10260504037,"Girl Scout cookie ","Jack Frost ","Cookie and cream "
10260087945,"? I don’t know much about strains","?","?"
10259196295,"High CBD, low THC","High THC, low CBD","Balanced CBD and THC"
